INTERACTOR_A  INTERACTOR_B
7227.FBpp0070877 7227.FBpp0303680
7227.FBpp0293948 7227.FBpp0078278
7227.FBpp0072957 7227.FBpp0306039
7227.FBpp0082817 7227.FBpp0074835
7227.FBpp0070499 7227.FBpp0070515
7227.FBpp0079443 7227.FBpp0077309
7227.FBpp0074554 7227.FBpp0074180
7227.FBpp0074075 7227.FBpp0073947
7227.FBpp0084959 7227.FBpp0072801
7227.FBpp0080872 7227.FBpp0077401
7227.FBpp0072687 7227.FBpp0087321
7227.FBpp0081822 7227.FBpp0077142
7227.FBpp0091143 7227.FBpp0091087
7227.FBpp0291670 7227.FBpp0088519
7227.FBpp0083371 7227.FBpp0291726
7227.FBpp0084564 7227.FBpp0071052
7227.FBpp0083611 7227.FBpp0070679
7227.FBpp0081845 7227.FBpp0079328
7227.FBpp0078868 7227.FBpp0079805
7227.FBpp0070646 7227.FBpp0082928
7227.FBpp0083371 7227.FBpp0072957
7227.FBpp0297348 7227.FBpp0110219
7227.FBpp0074104 7227.FBpp0081322
7227.FBpp0297136 7227.FBpp0071939
7227.FBpp0074075 7227.FBpp0075612
7227.FBpp0087765 7227.FBpp0306049
7227.FBpp0075034 7227.FBpp0070646
7227.FBpp0086468 7227.FBpp0079999
7227.FBpp0083376 7227.FBpp0085166
7227.FBpp0071766 7227.FBpp0088441
7227.FBpp0077899 7227.FBpp0076789
7227.FBpp0087865 7227.FBpp0086647
7227.FBpp0078024 7227.FBpp0085100
7227.FBpp0291653 7227.FBpp0070150
7227.FBpp0290743 7227.FBpp0082465
7227.FBpp0070911 7227.FBpp0087566
7227.FBpp0072687 7227.FBpp0080641
7227.FBpp0073943 7227.FBpp0082984
7227.FBpp0079536 7227.FBpp0078354
7227.FBpp0091072 7227.FBpp0091149
7227.FBpp0075422 7227.FBpp0083336
7227.FBpp0074104 7227.FBpp0071771
7227.FBpp0074906 7227.FBpp0072631
7227.FBpp0075684 7227.FBpp0087124
7227.FBpp0087115 7227.FBpp0082994
7227.FBpp0071046 7227.FBpp0071892
7227.FBpp0074086 7227.FBpp0071087
7227.FBpp0079752 7227.FBpp0070143
7227.FBpp0078624 7227.FBpp0087094
7227.FBpp0086348 7227.FBpp0080062
7227.FBpp0083906 7227.FBpp0089041
7227.FBpp0079607 7227.FBpp0086269
7227.FBpp0071087 7227.FBpp0086269
7227.FBpp0080389 7227.FBpp0072145
7227.FBpp0070382 7227.FBpp0084144
7227.FBpp0079514 7227.FBpp0088355
7227.FBpp0070208 7227.FBpp0290803
7227.FBpp0070729 7227.FBpp0076371
7227.FBpp0078416 7227.FBpp0089424
7227.FBpp0078997 7227.FBpp0082727
7227.FBpp0071226 7227.FBpp0082377
7227.FBpp0086314 7227.FBpp0084016
7227.FBpp0087118 7227.FBpp0081234
7227.FBpp0072801 7227.FBpp0074086
7227.FBpp0077885 7227.FBpp0082513
7227.FBpp0300615 7227.FBpp0078416
7227.FBpp0086269 7227.FBpp0070279
7227.FBpp0077309 7227.FBpp0076359
7227.FBpp0080389 7227.FBpp0074609
7227.FBpp0084626 7227.FBpp0085902
7227.FBpp0085902 7227.FBpp0072463
7227.FBpp0079305 7227.FBpp0071194
7227.FBpp0079880 7227.FBpp0304831
7227.FBpp0074104 7227.FBpp0070766
7227.FBpp0070259 7227.FBpp0076695
7227.FBpp0087115 7227.FBpp0071087
7227.FBpp0071587 7227.FBpp0078689
7227.FBpp0075982 7227.FBpp0071596
7227.FBpp0088015 7227.FBpp0081305
7227.FBpp0091115 7227.FBpp0091111
7227.FBpp0086103 7227.FBpp0078354
7227.FBpp0074075 7227.FBpp0074180
7227.FBpp0073906 7227.FBpp0304831
7227.FBpp0305858 7227.FBpp0290743
7227.FBpp0304788 7227.FBpp0085100
7227.FBpp0082995 7227.FBpp0090943
7227.FBpp0081704 7227.FBpp0079735
7227.FBpp0083687 7227.FBpp0086603
7227.FBpp0070940 7227.FBpp0085717
7227.FBpp0073471 7227.FBpp0086400
7227.FBpp0304248 7227.FBpp0072233
7227.FBpp0071973 7227.FBpp0083975
7227.FBpp0304827 7227.FBpp0073672
7227.FBpp0302781 7227.FBpp0077572
7227.FBpp0291653 7227.FBpp0303728
7227.FBpp0075751 7227.FBpp0072056
7227.FBpp0081263 7227.FBpp0073623
7227.FBpp0071295 7227.FBpp0071958
7227.FBpp0070716 7227.FBpp0305943
7227.FBpp0074047 7227.FBpp0073648
7227.FBpp0074882 7227.FBpp0084288
7227.FBpp0075618 7227.FBpp0074500
7227.FBpp0302530 7227.FBpp0075348
7227.FBpp0087118 7227.FBpp0078894
7227.FBpp0083843 7227.FBpp0085100
7227.FBpp0304831 7227.FBpp0078694
7227.FBpp0303680 7227.FBpp0077142
7227.FBpp0079305 7227.FBpp0077998
7227.FBpp0075425 7227.FBpp0305426
7227.FBpp0091093 7227.FBpp0091139
7227.FBpp0079880 7227.FBpp0076152
7227.FBpp0081845 7227.FBpp0300615
7227.FBpp0075772 7227.FBpp0072257
7227.FBpp0074278 7227.FBpp0078598
7227.FBpp0076738 7227.FBpp0079306
7227.FBpp0073316 7227.FBpp0087124
7227.FBpp0072801 7227.FBpp0080641
7227.FBpp0302793 7227.FBpp0077378
7227.FBpp0074687 7227.FBpp0080062
7227.FBpp0083440 7227.FBpp0071272
7227.FBpp0083354 7227.FBpp0085724
7227.FBpp0070403 7227.FBpp0082928
7227.FBpp0071771 7227.FBpp0071753
7227.FBpp0074115 7227.FBpp0303920
7227.FBpp0303920 7227.FBpp0085563
7227.FBpp0300615 7227.FBpp0306039
7227.FBpp0079328 7227.FBpp0076207
7227.FBpp0074104 7227.FBpp0081822
7227.FBpp0076200 7227.FBpp0071451
7227.FBpp0075686 7227.FBpp0075282
7227.FBpp0291653 7227.FBpp0076207
7227.FBpp0078416 7227.FBpp0290743
7227.FBpp0079500 7227.FBpp0081322
7227.FBpp0084617 7227.FBpp0078689
7227.FBpp0303680 7227.FBpp0084761
7227.FBpp0083912 7227.FBpp0082384
7227.FBpp0288515 7227.FBpp0074326
7227.FBpp0070143 7227.FBpp0070150
7227.FBpp0077630 7227.FBpp0079182
7227.FBpp0083802 7227.FBpp0075618
7227.FBpp0078433 7227.FBpp0084067
7227.FBpp0072083 7227.FBpp0076152
7227.FBpp0085585 7227.FBpp0070279
7227.FBpp0072468 7227.FBpp0304617
7227.FBpp0082995 7227.FBpp0073651
7227.FBpp0073906 7227.FBpp0087511
7227.FBpp0306232 7227.FBpp0077099
7227.FBpp0090943 7227.FBpp0079305
7227.FBpp0081614 7227.FBpp0070940
7227.FBpp0073623 7227.FBpp0084345
7227.FBpp0080560 7227.FBpp0080402
7227.FBpp0302530 7227.FBpp0084067
7227.FBpp0075618 7227.FBpp0300652
7227.FBpp0083549 7227.FBpp0071024
7227.FBpp0073781 7227.FBpp0085117
7227.FBpp0084989 7227.FBpp0082513
7227.FBpp0084242 7227.FBpp0073844
7227.FBpp0079443 7227.FBpp0071766
7227.FBpp0082787 7227.FBpp0087095
7227.FBpp0091125 7227.FBpp0085249
7227.FBpp0091066 7227.FBpp0091125
7227.FBpp0079606 7227.FBpp0070483
7227.FBpp0091078 7227.FBpp0091137
7227.FBpp0071744 7227.FBpp0075302
7227.FBpp0078847 7227.FBpp0073949
7227.FBpp0306232 7227.FBpp0078354
7227.FBpp0078448 7227.FBpp0291495
7227.FBpp0077209 7227.FBpp0305832
7227.FBpp0071744 7227.FBpp0082995
7227.FBpp0075068 7227.FBpp0080028
7227.FBpp0083581 7227.FBpp0087342
7227.FBpp0085585 7227.FBpp0071087
7227.FBpp0074086 7227.FBpp0070279
7227.FBpp0081317 7227.FBpp0076330
7227.FBpp0304299 7227.FBpp0293496
7227.FBpp0304831 7227.FBpp0082513
7227.FBpp0305184 7227.FBpp0305611
7227.FBpp0088833 7227.FBpp0072801
7227.FBpp0077159 7227.FBpp0072957
7227.FBpp0087319 7227.FBpp0078664
7227.FBpp0077401 7227.FBpp0076090
7227.FBpp0080401 7227.FBpp0081860
7227.FBpp0070859 7227.FBpp0082817
7227.FBpp0081355 7227.FBpp0079445
7227.FBpp0079752 7227.FBpp0291726
7227.FBpp0071587 7227.FBpp0078532
7227.FBpp0085121 7227.FBpp0073719
7227.FBpp0084966 7227.FBpp0089424
7227.FBpp0079500 7227.FBpp0070766
7227.FBpp0077415 7227.FBpp0076090
7227.FBpp0305182 7227.FBpp0085717
7227.FBpp0079115 7227.FBpp0070654
7227.FBpp0304879 7227.FBpp0076152
7227.FBpp0302939 7227.FBpp0080051
7227.FBpp0087118 7227.FBpp0074151
7227.FBpp0076602 7227.FBpp0306039
7227.FBpp0079752 7227.FBpp0080102
7227.FBpp0083195 7227.FBpp0086294
7227.FBpp0072475 7227.FBpp0079445
7227.FBpp0088180 7227.FBpp0085167
7227.FBpp0304831 7227.FBpp0082465
7227.FBpp0086269 7227.FBpp0071050
7227.FBpp0085334 7227.FBpp0078667
7227.FBpp0085703 7227.FBpp0080003
7227.FBpp0074086 7227.FBpp0304202
7227.FBpp0078694 7227.FBpp0291479
7227.FBpp0083581 7227.FBpp0075684
7227.FBpp0075612 7227.FBpp0076359
7227.FBpp0091135 7227.FBpp0091105
7227.FBpp0072094 7227.FBpp0080102
7227.FBpp0302939 7227.FBpp0073777
7227.FBpp0084959 7227.FBpp0076207
7227.FBpp0293442 7227.FBpp0074237
7227.FBpp0073316 7227.FBpp0078894
7227.FBpp0079484 7227.FBpp0082465
7227.FBpp0073387 7227.FBpp0075839
7227.FBpp0079880 7227.FBpp0290743
7227.FBpp0081168 7227.FBpp0081431
7227.FBpp0087115 7227.FBpp0082513
7227.FBpp0112385 7227.FBpp0088820
7227.FBpp0085121 7227.FBpp0077885
7227.FBpp0083581 7227.FBpp0077396
7227.FBpp0303270 7227.FBpp0073471
7227.FBpp0084103 7227.FBpp0075807
7227.FBpp0085717 7227.FBpp0076152
7227.FBpp0304879 7227.FBpp0079752
7227.FBpp0079484 7227.FBpp0080641
7227.FBpp0081845 7227.FBpp0074086
7227.FBpp0083800 7227.FBpp0088055
7227.FBpp0079812 7227.FBpp0080803
7227.FBpp0304831 7227.FBpp0305858
7227.FBpp0075246 7227.FBpp0084936
7227.FBpp0088523 7227.FBpp0075609
7227.FBpp0071529 7227.FBpp0086115
7227.FBpp0083905 7227.FBpp0082483
7227.FBpp0079484 7227.FBpp0070150
7227.FBpp0083843 7227.FBpp0076890
7227.FBpp0072801 7227.FBpp0290743
7227.FBpp0079500 7227.FBpp0081822
7227.FBpp0074104 7227.FBpp0081599
7227.FBpp0077159 7227.FBpp0087921
7227.FBpp0087566 7227.FBpp0070175
7227.FBpp0084959 7227.FBpp0071295
7227.FBpp0084016 7227.FBpp0075937
7227.FBpp0071808 7227.FBpp0079328
7227.FBpp0083802 7227.FBpp0077142
7227.FBpp0087115 7227.FBpp0078354
7227.FBpp0305858 7227.FBpp0291726
7227.FBpp0076207 7227.FBpp0079168
7227.FBpp0071128 7227.FBpp0074481
7227.FBpp0304412 7227.FBpp0086954
7227.FBpp0070208 7227.FBpp0074588
7227.FBpp0077885 7227.FBpp0303832
7227.FBpp0305858 7227.FBpp0082483
7227.FBpp0085483 7227.FBpp0070584
7227.FBpp0079870 7227.FBpp0074686
7227.FBpp0303680 7227.FBpp0085166
7227.FBpp0079008 7227.FBpp0080365
7227.FBpp0073538 7227.FBpp0292529
7227.FBpp0087115 7227.FBpp0072094
7227.FBpp0291433 7227.FBpp0078664
7227.FBpp0079328 7227.FBpp0082513
7227.FBpp0091125 7227.FBpp0091111
7227.FBpp0075034 7227.FBpp0076990
7227.FBpp0302863 7227.FBpp0072840
7227.FBpp0080607 7227.FBpp0078786
7227.FBpp0084966 7227.FBpp0300615
7227.FBpp0110412 7227.FBpp0070150
7227.FBpp0113035 7227.FBpp0070175
7227.FBpp0087637 7227.FBpp0079607
7227.FBpp0290743 7227.FBpp0306232
7227.FBpp0079813 7227.FBpp0083989
7227.FBpp0304879 7227.FBpp0086701
7227.FBpp0075068 7227.FBpp0074662
7227.FBpp0086974 7227.FBpp0304269
7227.FBpp0071808 7227.FBpp0087321
7227.FBpp0085809 7227.FBpp0077251
7227.FBpp0292527 7227.FBpp0087272
7227.FBpp0084561 7227.FBpp0072539
7227.FBpp0084966 7227.FBpp0071052
